edge_id,source,target,edge,capacity,n,high_overuse_count,high_overuse_fraction,mean_high_excess_all,mean_positive_high_excess,medium_deficit_when_high_overused_count,medium_deficit_when_high_overused_fraction_all,medium_deficit_given_high_overuse_fraction,mean_medium_deficit_when_high_overused,material_both_count,material_both_fraction,mean_shared_pressure
3,0,15,0→15,2.4000000953674316,20,12,0.6,0.0680421803850563,0.17211611687811676,12,0.6,1.0,0.2146302464809128,11,0.55,0.10326967012687005
35,9,0,9→0,10.0,20,18,0.9,0.0981704534091169,0.10986208075906762,18,0.9,1.0,0.20357596105889195,11,0.55,0.09887587268316085
41,11,14,11→14,0.1550000011920929,20,11,0.55,0.05397658386267832,0.18674091566249906,11,0.55,1.0,0.1867981168294065,10,0.5,0.10267455939508796
2,0,9,0→9,10.0,20,18,0.9,0.09669456459714651,0.11084816859568808,18,0.9,1.0,0.16775017483045196,10,0.5,0.08889825560423516
21,4,18,4→18,10.0,20,13,0.65,0.0307082968125031,0.10546213486714213,13,0.65,1.0,0.2879034527681776,10,0.5,0.06855038766364238
53,15,0,15→0,2.4000000953674316,20,13,0.65,0.08259657913023984,0.1878857673083561,12,0.6,0.9230769230769231,0.15047667521247526,9,0.45,0.08657532778079974
14,4,0,4→0,10.0,20,9,0.45,0.005352843315450405,0.14360575787189783,9,0.45,1.0,0.284390712362695,8,0.4,0.054991862939567274
9,2,6,2→6,10.0,20,15,0.75,0.10853588748821408,0.182218275774407,9,0.45,0.6,0.03269341201187991,7,0.35,0.03847262386804175
29,6,13,6→13,0.1550000011920929,20,9,0.45,-0.0453450739212606,0.16756802949982189,8,0.4,0.8888888888888888,0.19379286266307635,6,0.3,0.07117679688687581
68,21,14,21→14,10.0,20,10,0.5,0.06753659794186927,0.18470890682756888,6,0.3,0.6,0.10055177221570447,6,0.3,0.05203659151422698
40,11,12,11→12,0.1550000011920929,20,8,0.4,-0.05356681605653949,0.12041655410816648,8,0.4,1.0,0.1210345736281395,6,0.3,0.04814010774014874
36,9,8,9→8,2.4000000953674316,20,7,0.35,0.02878439417690155,0.1259471456215975,7,0.35,1.0,0.1738330399043621,6,0.3,0.044081500967559126
1,0,4,0→4,10.0,20,7,0.35,0.0014707865489333514,0.13354886159360665,7,0.35,1.0,0.22938887783449,6,0.3,0.040144056180298725
69,21,15,21→15,2.4000000953674316,20,8,0.4,-0.03153425434412417,0.11789001212979926,7,0.35,0.875,0.09865218289514865,6,0.3,0.03980827502858605
31,7,4,7→4,2.4000000953674316,20,8,0.4,0.023559785437129402,0.09794249587950443,8,0.4,1.0,0.0982756796595253,6,0.3,0.03917695267072689
34,8,19,8→19,2.4000000953674316,20,19,0.95,0.3905095703217012,0.4163160923988169,16,0.8,0.8421052631578947,0.04028501896112645,5,0.25,0.04802022476632811
6,1,13,1→13,0.1550000011920929,20,11,0.55,0.01384509546020419,0.16985263015083793,7,0.35,0.6363636363636364,0.11658100612088383,5,0.25,0.04493102736241728
0,0,2,0→2,10.0,20,14,0.7,0.05805707041747358,0.13625929271525064,11,0.55,0.7857142857142857,0.10201745891462619,5,0.25,0.044562623558158945
17,4,7,4→7,2.4000000953674316,20,9,0.45,0.0280949978622289,0.13087486372725685,7,0.35,0.7777777777777778,0.0954757290389357,5,0.25,0.0431741668830027
70,21,17,21→17,2.4000000953674316,20,8,0.4,-0.03187496218386372,0.11059294230802216,7,0.35,0.875,0.1519947271371193,5,0.25,0.040839223975288205
27,6,4,6→4,10.0,20,10,0.5,-0.009988835597016247,0.17429003509473343,7,0.35,0.7,0.08904094735011175,5,0.25,0.030755765620738236
59,18,4,18→4,10.0,20,12,0.6,-0.039512486233343275,0.058082704575819356,11,0.55,0.9166666666666666,0.12091306285524552,5,0.25,0.024132908203120133
24,5,17,5→17,2.4000000953674316,20,11,0.55,-0.047658193926203,0.11976914339677606,6,0.3,0.5454545454545454,0.1110972933440649,4,0.2,0.057994285056774605
54,15,21,15→21,2.4000000953674316,20,7,0.35,-0.07503530823196589,0.1286696963314693,5,0.25,0.7142857142857143,0.05013855762140058,4,0.2,0.03249202340618198
16,4,6,4→6,10.0,20,8,0.4,-0.07139048859337836,0.11964359960713712,6,0.3,0.75,0.08366500442914501,4,0.2,0.018117978518546636
45,12,7,12→7,2.4000000953674316,20,11,0.55,-0.025333186568082817,0.06063433284434808,7,0.35,0.6363636363636364,0.08482256133973824,3,0.15,0.029851468763957778
47,13,1,13→1,0.1550000011920929,20,15,0.75,0.16532490658578408,0.2615436529674748,5,0.25,0.3333333333333333,-0.06958716776752134,3,0.15,0.02892459168911022
71,21,18,21→18,10.0,20,10,0.5,0.002070803818055935,0.14808585379789857,4,0.2,0.4,0.018371708673321486,3,0.15,0.02470017710703441
26,6,2,6→2,10.0,20,15,0.75,0.046062817647981466,0.11013769028029105,7,0.35,0.4666666666666667,0.0020908217772743864,3,0.15,0.021249907615148753
42,12,2,12→2,10.0,20,14,0.7,0.04665389189339626,0.11030981385900425,6,0.3,0.42857142857142855,0.0032822795083285996,3,0.15,0.015305793219883627
8,2,0,2→0,10.0,20,15,0.75,0.03945265349437975,0.09439410252771703,9,0.45,0.6,0.003553869493812271,2,0.1,0.01686043752502769
32,7,12,7→12,2.4000000953674316,20,3,0.15,-0.023441053617440467,0.1011351834424659,3,0.15,1.0,0.10142008430380935,2,0.1,0.015167836401163062
20,4,14,4→14,10.0,20,9,0.45,-0.020763292538442855,0.16408939013985205,3,0.15,0.3333333333333333,-0.010640194047056822,2,0.1,0.01215153214054464
43,12,4,12→4,10.0,20,6,0.3,-0.04823867716446462,0.07612688296666571,2,0.1,0.3333333333333333,0.0471771686191887,2,0.1,0.00949363083287281
58,17,21,17→21,2.4000000953674316,20,3,0.15,-0.06578160431719318,0.09035484618232494,3,0.15,1.0,0.18034572572391375,2,0.1,0.00921831810462068
28,6,5,6→5,10.0,20,2,0.1,-0.034457773619140965,0.075376875515758,2,0.1,1.0,0.06186453658738174,2,0.1,0.006016744451972045
57,17,5,17→5,2.4000000953674316,20,13,0.65,-0.015182214589654347,0.044756978557335216,11,0.55,0.8461538461538461,0.03550046774845033,1,0.05,0.014787172904008624
51,14,11,14→11,0.1550000011920929,20,2,0.1,0.012967514236251625,0.13696360818367506,2,0.1,1.0,0.13736202061625857,1,0.05,0.013696360818367507
48,13,6,13→6,0.1550000011920929,20,2,0.1,-0.20625731292082533,0.11613495358675968,2,0.1,1.0,0.31852272695983974,1,0.05,0.011613495358675969
4,0,19,0→19,2.4000000953674316,20,1,0.05,-0.032602865906808255,0.2285255335150455,1,0.05,1.0,0.22881377163161828,1,0.05,0.011426276675752276
10,2,12,2→12,10.0,20,10,0.5,-0.010113190093661616,0.08837765040283634,4,0.2,0.4,0.003162114067633581,1,0.05,0.011234370000423724
63,19,8,19→8,2.4000000953674316,20,18,0.9,0.3915223917225492,0.45042083163078,12,0.6,0.6666666666666666,0.0029007105380498494,1,0.05,0.010440285030924104
61,18,21,18→21,10.0,20,13,0.65,0.005953361088961268,0.05197052671418437,9,0.45,0.6923076923076923,0.005752112146733716,1,0.05,0.008232576759563699
30,6,21,6→21,10.0,20,7,0.35,-0.09021423863974366,0.08432893635216228,4,0.2,0.5714285714285714,0.0062088212911289445,1,0.05,0.005843420983041777
50,14,4,14→4,10.0,20,7,0.35,-0.07491698093545573,0.03398606756125965,2,0.1,0.2857142857142857,0.02001348567458214,1,0.05,0.004868563042866327
52,14,21,14→21,10.0,20,18,0.9,0.13719951005704803,0.1570294048690959,1,0.05,0.05555555555555555,-0.10615303552758625,1,0.05,0.004378448180361829
25,6,1,6→1,2.4000000953674316,20,5,0.25,-0.17627208950740744,0.05002803092565226,1,0.05,0.2,-0.361524551364076,1,0.05,0.004211030092862791
11,3,4,3→4,10.0,20,6,0.3,-0.08250256751765406,0.019600929304167042,4,0.2,0.6666666666666666,0.03003551711287228,0,0.0,0.003980781330107312
55,16,3,16→3,2.4000000953674316,20,11,0.55,-0.0861496471364915,0.02362147486390779,2,0.1,0.18181818181818182,-0.10162258970483334,0,0.0,0.002727922787758175
19,4,12,4→12,10.0,20,15,0.75,0.04502888947330835,0.11348282352513599,3,0.15,0.2,-0.051831349158467925,0,0.0,0.001900778450733469
44,12,5,12→5,10.0,20,12,0.6,0.03167286171232973,0.08574674607177925,2,0.1,0.16666666666666666,-0.0705449482921546,0,0.0,0.0018508338800998913
60,18,16,18→16,10.0,20,15,0.75,0.009624515464125804,0.03423259497298053,1,0.05,0.06666666666666667,-0.03846268156980538,0,0.0,0.0016986958049892565
15,4,3,4→3,10.0,20,1,0.05,-0.15988688020119995,0.026723781136388423,1,0.05,1.0,0.08939952874013671,0,0.0,0.0013361890568194211
46,12,11,12→11,0.1550000011920929,20,2,0.1,-0.012480849356006476,0.010650095570823498,2,0.1,1.0,0.011455024410768122,0,0.0,0.0010650095570823499
23,5,12,5→12,10.0,20,12,0.6,-0.0026163697957940703,0.021861159811625914,2,0.1,0.16666666666666666,-0.009808012100268116,0,0.0,0.0009720603843572917
56,16,18,16→18,10.0,20,6,0.3,-0.0797675689018368,0.017067386582133772,2,0.1,0.3333333333333333,-0.015332394172729498,0,0.0,0.0008627135178335266
12,3,16,3→16,2.4000000953674316,20,1,0.05,-0.4556652140631807,0.01101414893623874,1,0.05,1.0,0.2661501988461164,0,0.0,0.0005507074468119371
64,20,3,20→3,2.4000000953674316,20,3,0.15,-0.41847307364760644,0.022424390776813047,2,0.1,0.6666666666666666,-0.017705187409748163,0,0.0,0.00028705155014344103
38,10,4,10→4,2.4000000953674316,20,3,0.15,-0.0989456467816541,0.005020625973157676,2,0.1,0.6666666666666666,0.07695471173066795,0,0.0,0.00013079793305710254
18,4,10,4→10,2.4000000953674316,20,3,0.15,-0.41993027959104773,0.0011533936845749596,1,0.05,0.3333333333333333,0.044242453965877504,0,0.0,0.00011274674919174627
33,8,9,8→9,2.4000000953674316,20,3,0.15,1.7139698251655446e-05,0.0001763197104946799,3,0.15,1.0,0.00017671707490372684,0,0.0,2.644795657420199e-05
5,1,6,1→6,2.4000000953674316,20,0,0.0,-0.22109089090529338,0.0,0,0.0,0.0,0.0,0,0.0,0.0
7,1,14,1→14,2.4000000953674316,20,12,0.6,-0.11800849286497046,0.05526151790159534,0,0.0,0.0,-0.5519022408316228,0,0.0,0.0
13,3,20,3→20,2.4000000953674316,20,2,0.1,-0.37376655350988947,0.00910833531886958,0,0.0,0.0,-0.3629554041511056,0,0.0,0.0
22,5,6,5→6,10.0,20,15,0.75,0.007062418826073692,0.048439777892546235,0,0.0,0.0,-0.043566031093773744,0,0.0,0.0
