snapshot,edges,high_overuse_edges,medium_deficit_on_high_overused_edges,conditional_fraction,material_both_edges,pearson_all_edges
400,72,32,19,0.59375,6,0.25061768532620726
405,72,25,19,0.76,8,0.18901152547894456
410,72,34,25,0.7352941176470589,16,0.4845913427356193
415,72,27,15,0.5555555555555556,13,0.46666534579788144
420,72,37,17,0.4594594594594595,10,0.6234722571256784
425,72,42,18,0.42857142857142855,10,0.5984806308473358
430,72,37,17,0.4594594594594595,9,0.3662445285985565
435,72,43,14,0.32558139534883723,5,0.10045195394606803
440,72,34,11,0.3235294117647059,4,0.020813519413388493
445,72,39,14,0.358974358974359,5,-0.036793007865074945
450,72,21,16,0.7619047619047619,10,0.49059404017150415
455,72,29,21,0.7241379310344828,13,0.5055708082472686
460,72,28,19,0.6785714285714286,9,-0.04428364645106863
465,72,27,19,0.7037037037037037,10,0.46158618036072463
470,72,28,21,0.75,13,0.6023384352881279
475,72,23,20,0.8695652173913043,13,0.5456293494949123
480,72,25,21,0.84,14,0.5957872965795245
485,72,26,20,0.7692307692307693,16,0.6567279107058752
490,72,26,19,0.7307692307692307,8,0.018935491094657447
495,72,26,19,0.7307692307692307,11,0.5855230640808765
