load,method,class,n,norm_fulfill_mean,norm_fulfill_p1,norm_fulfill_p10,fulfill_ratio_mean
1x,Hattrick,High,100,0.9999999630451203,0.9999997609853745,0.9999998807907104,0.9989769577980041
1x,Hattrick,Medium,100,0.9957454067468643,0.9822047126293182,0.9905342578887939,0.8750794422626496
1x,Hattrick,Low,100,1.0109981387853622,0.9742490434646607,0.9980078935623169,0.7509512639045716
1x,Hatrrick-e,High,100,0.9999999630451203,0.9999997609853745,0.9999998807907104,0.9989769577980041
1x,Hatrrick-e,Medium,100,0.9957454067468643,0.9822047126293182,0.9905342578887939,0.8750794422626496
1x,Hatrrick-e,Low,100,1.0109981536865233,0.9742490434646607,0.9980077862739563,0.750951269865036
1x,DOTE-MC,High,100,0.9999621105194092,0.9991483587026596,0.9999998807907104,0.9989391112327576
1x,DOTE-MC,Medium,100,0.9951617521047592,0.974084078669548,0.9840122818946838,0.8745335423946381
1x,DOTE-MC,Low,100,0.9780009359121322,0.873783848285675,0.9112341046333313,0.7285948646068573
2x,Hattrick,High,100,0.9985365015268326,0.9882580143213272,0.9963001728057861,0.9308559781312943
2x,Hattrick,Medium,100,0.9343662232160568,0.8901874989271163,0.8966957032680511,0.5773442909121513
2x,Hattrick,Low,100,1.1472881865501403,0.9548774111270905,0.9992087304592132,0.5275465527176857
2x,Hatrrick-e,High,100,0.9985365015268326,0.9882580143213272,0.9963001728057861,0.9308559781312943
2x,Hatrrick-e,Medium,100,0.9472379618883133,0.8982986223697662,0.9095984399318695,0.584984555542469
2x,Hatrrick-e,Low,100,1.17570203602314,0.9651254123449325,1.0013089716434478,0.5387503570318222
2x,DOTE-MC,High,100,0.9980131322145462,0.989090058207512,0.9926527619361878,0.9303376358747483
2x,DOTE-MC,Medium,100,0.9821234941482544,0.9043990880250931,0.9659088790416718,0.6056586387753486
2x,DOTE-MC,Low,100,1.056849940419197,0.9380954748392105,0.9752912521362305,0.49119424760341646
