load,method,class,mean_delta_vs_hattrick,p1_delta_vs_hattrick,p10_delta_vs_hattrick
1x,Hatrrick-e,High,0.0,0.0,0.0
1x,Hatrrick-e,Medium,0.0,0.0,0.0
1x,Hatrrick-e,Low,1.4901161193847656e-08,0.0,-1.0728836064011205e-07
1x,DOTE-MC,High,-3.7852525711090657e-05,-0.0008514022827148526,0.0
1x,DOTE-MC,Medium,-0.0005836546421050803,-0.00812063395977014,-0.006521975994110085
1x,DOTE-MC,Low,-0.032997202873229936,-0.10046519517898567,-0.08677378892898557
2x,Hatrrick-e,High,0.0,0.0,0.0
2x,Hatrrick-e,Medium,0.01287173867225655,0.008111123442649859,0.01290273666381836
2x,Hatrrick-e,Low,0.02841384947299974,0.010248001217842084,0.0021002411842345747
2x,DOTE-MC,High,-0.0005233693122863592,0.0008320438861847412,-0.0036474108695983
2x,DOTE-MC,Medium,0.047757270932197615,0.014211589097976707,0.06921317577362063
2x,DOTE-MC,Low,-0.0904382461309432,-0.01678193628787994,-0.023917478322982744
